Issue ID,Parent ID,Issue Type,Summary,Description,Epic Name,Epic Link,Story Points,Priority,Status,Sprint,Assignee,Component,Labels,Labels,Labels
35,,Story,"Como estudiante, quiero registrarme con mi correo institucional, para crear mi cuenta","El correo institucional es lo que garantiza que quien responde pertenece a la carrera.

CRITERIOS DE ACEPTACIÓN
1. Se valida formato de correo, dominio institucional y código de estudiante
2. El correo y el código se normalizan antes de guardar para evitar duplicados por mayusculas
3. La contraseña se almacena con bcrypt, nunca en claro ni con hash reversible
4. Un correo ya registrado devuelve error claro sin revelar si la cuenta existe

Identificador interno: HU-05",,Autenticación y Cuentas,5,Highest,To Do,S3 Cuentas y datos (14/09-25/09),Wilson Collantes Aponte,Backend,REVO,backend,autenticacion
36,,Story,"Como estudiante, quiero iniciar sesión de forma segura, para acceder a mis evaluaciones","El token es la única prueba de identidad que los otros dos servicios reciben.

CRITERIOS DE ACEPTACIÓN
1. Credenciales validas devuelven un JWT firmado con expiración definida
2. Credenciales inválidas devuelven el mismo mensaje sin distinguir usuario de contraseña
3. El secreto de firma se lee de variable de entorno y no tiene valor por defecto
4. Los tres servicios validan el token con el mismo secreto y algoritmo

Identificador interno: HU-06",,Autenticación y Cuentas,5,Highest,To Do,S3 Cuentas y datos (14/09-25/09),Wilson Collantes Aponte,Backend,REVO,backend,autenticacion
37,,Story,"Como administrador, quiero que el acceso se restrinja segun mi rol, para proteger la información sensible","Ocultar un botón en el frontend no es control de acceso; la restricción tiene que estar en la API.

CRITERIOS DE ACEPTACIÓN
1. Cada endpoint sensible exige rol de administrador en el servidor
2. Un estudiante que llama a un endpoint de administrador recibe 403
3. El identificador de usuario se toma del token, nunca del cuerpo de la petición
4. Existe prueba automatizada que verifica el rechazo por rol

Identificador interno: HU-07",,Autenticación y Cuentas,5,High,To Do,S3 Cuentas y datos (14/09-25/09),Steven Febre Rivera,Backend,REVO,seguridad,autenticacion
38,,Task,Crear el esquema fisico de la base de datos con sus índices,"Materializa el modelo de TK-03 en DDL versionado.

CRITERIOS DE ACEPTACIÓN
1. Scripts DDL versionados y ejecutables en orden desde cero
2. Índices sobre las columnas usadas en filtros y uniones
3. Restricciones de integridad referencial activas

Identificador interno: TK-09",,Cuestionario Adaptativo,5,Highest,To Do,S3 Cuentas y datos (14/09-25/09),Wilson Collantes Aponte,Base de Datos,REVO,base-datos,backend
39,,Task,Elaborar el banco de 100 preguntas del cuestionario,"Diez preguntas por especialización repartidas en cuatro categorías: académico, habilidades, intereses y personalidad.

CRITERIOS DE ACEPTACIÓN
1. 100 preguntas cargadas, 10 por especialización
2. Cada pregunta asociada a su especialización y a su categoría
3. Redacción revisada por un integrante distinto al que la escribió
4. Escala Likert de 1 a 5 con anclas verbales definidas

Identificador interno: TK-10",,Cuestionario Adaptativo,8,High,To Do,S3 Cuentas y datos (14/09-25/09),Hebert Cornejo Garcia,Base de Datos,REVO,contenido,cuestionario
40,39,Sub-task,Redactar los 30 items de intereses,Sub-tarea de TK-10.,,,,High,To Do,S3 Cuentas y datos (14/09-25/09),Hebert Cornejo Garcia,Base de Datos,REVO,contenido,
41,39,Sub-task,Redactar los 30 items de habilidades,Sub-tarea de TK-10.,,,,High,To Do,S3 Cuentas y datos (14/09-25/09),Hebert Cornejo Garcia,Base de Datos,REVO,contenido,
42,39,Sub-task,Redactar los 20 items de personalidad,Sub-tarea de TK-10.,,,,High,To Do,S3 Cuentas y datos (14/09-25/09),Hebert Cornejo Garcia,Base de Datos,REVO,contenido,
43,39,Sub-task,Redactar los 20 items académicos y cargar el seed,Sub-tarea de TK-10.,,,,High,To Do,S3 Cuentas y datos (14/09-25/09),Hebert Cornejo Garcia,Base de Datos,REVO,contenido,
44,,Task,Construir las pantallas de registro e inicio de sesión con validación de campos,"Primera pantalla que ve el usuario. La validación tiene que ser inmediata y comprensible.

CRITERIOS DE ACEPTACIÓN
1. Validación en cliente de correo, contraseña y código antes de enviar
2. Mensajes de error específicos por campo, no un aviso genérico
3. La pantalla ocupa el alto completo y responde en móvil, tablet y escritorio
4. El envio se bloquea mientras hay una petición en curso

Identificador interno: TK-42",,Diseño y Experiencia,8,High,To Do,S3 Cuentas y datos (14/09-25/09),Alexis Morante Herrera,Frontend,REVO,frontend,ux
45,44,Sub-task,Maquetar el formulario de inicio de sesión con sus estados,Sub-tarea de TK-42.,,,,High,To Do,S3 Cuentas y datos (14/09-25/09),Alexis Morante Herrera,Frontend,REVO,frontend,
46,44,Sub-task,Maquetar el formulario de registro con validación por campo,Sub-tarea de TK-42.,,,,High,To Do,S3 Cuentas y datos (14/09-25/09),Alexis Morante Herrera,Frontend,REVO,frontend,
47,44,Sub-task,Conectar ambos con el servicio de autenticación y manejar los errores,Sub-tarea de TK-42.,,,,High,To Do,S3 Cuentas y datos (14/09-25/09),Alexis Morante Herrera,Frontend,REVO,frontend,
48,,Task,Sacar todos los secretos del código y gestionarlos por variables de entorno,"Un secreto con valor por defecto en el código termina siendo el secreto de producción.

CRITERIOS DE ACEPTACIÓN
1. Ninguna clave, contraseña ni cadena de conexión literal en el repositorio
2. Las variables obligatorias no tienen valor por defecto: el servicio falla al arrancar si faltan
3. .env.example documenta cada variable sin exponer valores reales

Identificador interno: TK-43",,Seguridad y Calidad,3,High,To Do,S3 Cuentas y datos (14/09-25/09),Steven Febre Rivera,Backend,REVO,seguridad,
49,,Task,Evaluar seguridad a nivel de fila y registrar la decisión en un ADR,"Los tres servicios comparten un único usuario de base de datos que además es dueno de las tablas. Hay que decidir con argumentos si RLS aporta o solo da falsa sensación de protección.

CRITERIOS DE ACEPTACIÓN
1. El ADR expone el contexto, las alternativas evaluadas y la decisión tomada
2. Si se descarta RLS, queda escrito qué control lo sustituye y cómo se verifica
3. La decisión está fechada y firmada por el equipo

Identificador interno: TK-45",,Seguridad y Calidad,3,Medium,To Do,S3 Cuentas y datos (14/09-25/09),Steven Febre Rivera,Base de Datos,REVO,seguridad,arquitectura
50,,Story,"Como estudiante, quiero responder una primera fase que cubra las 10 especializaciones, para que el sistema detecte mis tres areas de mayor afinidad","Diez preguntas, una por rama. Es la calibración que decide qué se pregunta después.

CRITERIOS DE ACEPTACIÓN
1. La fase 1 sirve exactamente 10 preguntas, una por especialización
2. Al cerrarla se calculan las afinidades y se identifican las tres mayores
3. El cálculo se resuelve en una consulta agregada, no una por especialización
4. El avance se guarda: si el estudiante recarga, retoma donde estaba

Identificador interno: HU-08",,Cuestionario Adaptativo,8,Highest,To Do,S4 Motor adaptativo (28/09-09/10),Wilson Collantes Aponte,Backend,REVO,backend,cuestionario
51,50,Sub-task,Implementar la selección de preguntas de la fase 1,Sub-tarea de HU-08.,,,,Highest,To Do,S4 Motor adaptativo (28/09-09/10),Wilson Collantes Aponte,Backend,REVO,backend,
52,50,Sub-task,Implementar el cálculo agregado de afinidad por especialización,Sub-tarea de HU-08.,,,,Highest,To Do,S4 Motor adaptativo (28/09-09/10),Wilson Collantes Aponte,Backend,REVO,backend,
53,50,Sub-task,Persistir el estado de la sesión y permitir retomarla,Sub-tarea de HU-08.,,,,Highest,To Do,S4 Motor adaptativo (28/09-09/10),Wilson Collantes Aponte,Backend,REVO,backend,
54,,Story,"Como estudiante, quiero que la segunda fase profundice solo en mis tres areas principales, para no responder preguntas irrelevantes","Aquí está el valor diferencial: el test se adapta en lugar de servir siempre las mismas 100 preguntas.

CRITERIOS DE ACEPTACIÓN
1. La fase 2 sirve 15 preguntas, 5 de cada una de las tres areas detectadas
2. Nunca repite una pregunta ya respondida en la fase 1
3. Si dos afinidades empatan, el criterio de desempate esta definido y es reproducible
4. Las respuestas de la fase 2 pesan más que las de la fase 1 en el cálculo final

Identificador interno: HU-09",,Cuestionario Adaptativo,8,Highest,To Do,S4 Motor adaptativo (28/09-09/10),Wilson Collantes Aponte,Backend,REVO,backend,cuestionario
55,54,Sub-task,Implementar la selección condicionada por las tres areas detectadas,Sub-tarea de HU-09.,,,,Highest,To Do,S4 Motor adaptativo (28/09-09/10),Wilson Collantes Aponte,Backend,REVO,backend,
56,54,Sub-task,Definir y probar el criterio de desempate,Sub-tarea de HU-09.,,,,Highest,To Do,S4 Motor adaptativo (28/09-09/10),Wilson Collantes Aponte,Backend,REVO,backend,
57,54,Sub-task,Implementar la ponderación de fase 2 sobre fase 1,Sub-tarea de HU-09.,,,,Highest,To Do,S4 Motor adaptativo (28/09-09/10),Wilson Collantes Aponte,Backend,REVO,backend,
58,,Story,"Como sistema, necesito entrenar un modelo con el conjunto de datos, para poder generar recomendaciones","Regresión logistica multinomial con class_weight balanceado. El modelo se serializa y se carga una sola vez en memoria.

CRITERIOS DE ACEPTACIÓN
1. El entrenamiento produce un modelo serializado y reproducible con semilla fija
2. Se reportan exactitud, F1 macro y matriz de confusión sobre un conjunto de prueba separado
3. Se reporta además la exactitud de una línea base trivial y la diferencia entre ambas
4. El modelo se carga en memoria una vez, no en cada petición

Identificador interno: HU-10",,Motor de Machine Learning,8,Highest,To Do,S4 Motor adaptativo (28/09-09/10),Hebert Cornejo Garcia,ML,REVO,ml,
59,58,Sub-task,Preparar el conjunto de datos y la partición de entrenamiento y prueba,Sub-tarea de HU-10.,,,,Highest,To Do,S4 Motor adaptativo (28/09-09/10),Hebert Cornejo Garcia,ML,REVO,ml,
60,58,Sub-task,"Entrenar, serializar y versionar el modelo",Sub-tarea de HU-10.,,,,Highest,To Do,S4 Motor adaptativo (28/09-09/10),Hebert Cornejo Garcia,ML,REVO,ml,
61,58,Sub-task,Instrumentar las métricas incluida la línea base,Sub-tarea de HU-10.,,,,Highest,To Do,S4 Motor adaptativo (28/09-09/10),Hebert Cornejo Garcia,ML,REVO,ml,
62,,Story,"Como estudiante, quiero recibir mi recomendación al terminar el cuestionario, para conocer mi especialización sugerida","Cierre del flujo. La predicción debe atribuirse al usuario del token, no al que venga en el cuerpo.

CRITERIOS DE ACEPTACIÓN
1. Al cerrar la fase 3 se genera la predicción y se persiste asociada a la sesión
2. El usuario de la predicción se toma del token: un usuario no puede predecir por otro
3. La respuesta incluye la especialización sugerida y el nivel de confianza
4. La predicción responde en menos de 500 ms

Identificador interno: HU-11",,Motor de Machine Learning,5,Highest,To Do,S4 Motor adaptativo (28/09-09/10),Hebert Cornejo Garcia,ML,REVO,ml,backend
63,,Task,Construir la pantalla del cuestionario con navegación entre fases,"Veinticinco preguntas seguidas cansan. La interfaz tiene que sostener la atención sin distraer.

CRITERIOS DE ACEPTACIÓN
1. Una pregunta visible a la vez, con avance explícito y sin desplazamiento vertical
2. El botón de avanzar permanece deshabilitado mientras no haya respuesta
3. El progreso muestra fase actual y posición dentro de la fase
4. Las animaciones respetan la preferencia de movimiento reducido del sistema

Identificador interno: TK-11",,Diseño y Experiencia,8,High,To Do,S4 Motor adaptativo (28/09-09/10),Alexis Morante Herrera,Frontend,REVO,frontend,ux
64,63,Sub-task,Maquetar la carta de pregunta y la escala de respuesta,Sub-tarea de TK-11.,,,,High,To Do,S4 Motor adaptativo (28/09-09/10),Alexis Morante Herrera,Frontend,REVO,frontend,
65,63,Sub-task,Implementar la navegación entre preguntas y entre fases,Sub-tarea de TK-11.,,,,High,To Do,S4 Motor adaptativo (28/09-09/10),Alexis Morante Herrera,Frontend,REVO,frontend,
66,63,Sub-task,Implementar el indicador de progreso y los estados de carga,Sub-tarea de TK-11.,,,,High,To Do,S4 Motor adaptativo (28/09-09/10),Alexis Morante Herrera,Frontend,REVO,frontend,
67,,Task,Contenerizar los servicios y publicar la primera versión en un entorno de pruebas,"Primer despliegue real. Sirve para descubrir lo que solo falla fuera de local.

CRITERIOS DE ACEPTACIÓN
1. Cada servicio tiene su imagen y arranca con la configuración inyectada por entorno
2. El frontend consume la API desplegada, no localhost
3. El entorno de pruebas es accesible por los cuatro integrantes

Identificador interno: TK-14",,Infraestructura y DevOps,5,High,To Do,S4 Motor adaptativo (28/09-09/10),Steven Febre Rivera,Infraestructura,REVO,devops,infraestructura
68,,Story,"Como estudiante, quiero ver mi resultado con gráficas comparativas, para entender mi perfil de forma visual","El resultado es la pantalla que justifica todo el recorrido. Tiene que leerse en segundos.

CRITERIOS DE ACEPTACIÓN
1. La especialización recomendada es el elemento dominante de la pantalla
2. Se muestran las afinidades comparadas de las diez especializaciones
3. Ninguna gráfica depende solo del color para distinguir series
4. La pantalla es legible en móvil sin desplazamiento horizontal

Identificador interno: HU-12",,Resultados y Visualización,8,High,To Do,S5 Resultados y despliegue (12/10-23/10),Alexis Morante Herrera,Frontend,REVO,frontend,ux
69,68,Sub-task,Maquetar el bloque de resultado principal,Sub-tarea de HU-12.,,,,High,To Do,S5 Resultados y despliegue (12/10-23/10),Alexis Morante Herrera,Frontend,REVO,frontend,
70,68,Sub-task,Integrar las gráficas de afinidad y de comparación,Sub-tarea de HU-12.,,,,High,To Do,S5 Resultados y despliegue (12/10-23/10),Alexis Morante Herrera,Frontend,REVO,frontend,
71,68,Sub-task,"Resolver los estados de carga, error y resultado ambiguo",Sub-tarea de HU-12.,,,,High,To Do,S5 Resultados y despliegue (12/10-23/10),Alexis Morante Herrera,Frontend,REVO,frontend,
72,,Story,"Como administrador, quiero ver la distribución de perfiles del alumnado, para orientar la oferta académica","Es el dato que convierte a REVO en información institucional y no solo en un test individual.

CRITERIOS DE ACEPTACIÓN
1. El panel muestra cuantos estudiantes cayeron en cada especialización
2. Los datos se obtienen con consultas agregadas, sin traer todas las filas al servicio
3. El endpoint exige rol de administrador

Identificador interno: HU-14",,Panel Administrativo,5,Medium,To Do,S5 Resultados y despliegue (12/10-23/10),Steven Febre Rivera,Frontend,REVO,frontend,admin
73,,Story,"Como administrador, quiero ver las métricas de desempeno del modelo, para evaluar su confiabilidad","Mostrar solo la exactitud invita a leer mal el resultado. Hay que mostrarla contra una referencia.

CRITERIOS DE ACEPTACIÓN
1. Se muestran exactitud, F1 macro y número de muestras de entrenamiento
2. Se muestra la exactitud de la línea base y la diferencia respecto del modelo
3. Cada métrica tiene una explicación breve para un lector no técnico
4. El endpoint exige rol de administrador

Identificador interno: HU-15",,Panel Administrativo,5,Medium,To Do,S5 Resultados y despliegue (12/10-23/10),Hebert Cornejo Garcia,ML,REVO,ml,admin
74,,Story,"Como estudiante, quiero una tercera fase de situaciones reales, para que el sistema identifique cómo trabajo y no solo qué me interesa","Cuatro escenarios de elección múltiple que derivan en un arquetipo profesional.

CRITERIOS DE ACEPTACIÓN
1. La fase 3 sirve 4 preguntas de escenario con cuatro opciones cada una
2. Las respuestas determinan el arquetipo mediante una regla documentada
3. Si la fuente de preguntas falla, existe un juego de respaldo y el flujo no se rompe
4. El arquetipo se persiste junto con la sesión

Identificador interno: HU-26",,Cuestionario Adaptativo,5,High,To Do,S5 Resultados y despliegue (12/10-23/10),Wilson Collantes Aponte,Backend,REVO,backend,cuestionario
